Unnamed: 0_level_0,Unnamed: 1_level_0,營業收入,營業收入,營業收入,營業收入,營業收入,累計營業收入,累計營業收入,累計營業收入,備註,當月營收
code,公司名稱,當月營收,上月營收,去年當月營收,上月比較 增減(%),去年同月 增減(%),當月累計營收,去年累計營收,前期比較 增減(%),備註,
1101,台泥,9779716,4536849,8672879,115.56,12.76,22037652,19800812,11.29,"以上營收不包含停業部門營收:110年3月1,367,351仟元暨109年3月800,488仟元；110年1~3月2,242,525仟元暨109年1~3月2,175,388仟元",9779716
1102,亞泥,7006606,3450204,5077457,103.07,37.99,17893141,13138881,36.18,-,7006606
1103,嘉泥,203954,145091,179493,40.56,13.62,544527,495334,9.93,-,203954
1104,環泥,575019,354013,479717,62.42,19.86,1440498,1253758,14.89,-,575019
1108,幸福,349527,279071,418037,25.24,-16.38,1045953,1104720,-5.31,-,349527
1109,信大,882786,190339,488590,363.79,80.68,1812351,1165081,55.55,"去年同期受新冠疫情影響,本月已恢復正常穩健出貨.",882786
1110,東泥,146368,103108,146412,41.95,-0.03,387342,387944,-0.15,-,146368
1201,味全,1507135,1401435,1423557,7.54,5.87,4369688,3974342,9.94,-,1507135
1203,味王,500102,442622,564047,12.98,-11.33,1487992,1583090,-6.0,-,500102
1210,大成,8072006,5817609,6233854,38.75,29.48,22372328,18256726,22.54,-,8072006
1213,大飲,30196,39520,24268,-23.59,24.42,102266,80066,27.72,-,30196
1215,卜蜂,2030023,1651502,1911231,22.91,6.21,5718985,5241193,9.11,-,2030023
1216,統一,38463882,31769464,35948254,21.07,6.99,115428161,108264865,6.61,-,38463882
1217,愛之味,367154,317669,444287,15.57,-17.36,1095839,1152481,-4.91,-,367154
1218,泰山,799575,629161,661552,27.08,20.86,2274492,1904167,19.44,-,799575
1219,福壽,1257299,1134676,1060891,10.8,18.51,3718059,2989739,24.36,-,1257299
1220,台榮,269619,176717,222238,52.57,21.31,708760,601910,17.75,-,269619
1225,福懋油,1125109,893451,886030,25.92,26.98,3095539,2521292,22.77,-,1125109
1227,佳格,1938626,1740003,2246948,11.41,-13.72,8264616,6671433,23.88,-,1938626
1229,聯華,864164,599791,786115,44.07,9.92,2225293,2047029,8.7,-,864164
1231,聯華食,705431,718678,700011,-1.84,0.77,2373553,2098046,13.13,-,705431
1232,大統益,1805442,1377370,1364616,31.07,32.3,4842731,4073682,18.87,-,1805442
1233,天仁,148313,163783,117999,-9.44,25.69,482671,489451,-1.38,-,148313
1234,黑松,733787,646038,593417,13.58,23.65,2214899,1949283,13.62,-,733787
1235,興泰,1009,979,1562,3.06,-35.4,3821,4197,-8.95,-,1009
1236,宏亞,115293,95806,142868,20.34,-19.3,540612,437389,23.59,-,115293
1702,南僑,1712334,1205199,1276297,42.07,34.16,4664954,3616096,29.0,-,1712334
1737,臺鹽,290340,219142,260465,32.48,11.46,790085,724457,9.05,-,290340
3054,立萬利,4641,2490,37841,86.38,-87.73,13551,102400,-86.76,本期無電子相關營收致本期營收較去年同期減少。,4641
1301,台塑,25018934,16367396,15400468,52.85,62.45,60601937,42019180,44.22,去年3月受疫情影響，需求急凍，產品價格崩跌，今年疫情趨緩，需求及產品價格回升，因此今年3月合併營收較去年同期增加62.46%。,25018934
1303,南亞,34372304,25991621,23244809,32.24,47.87,89710690,65557509,36.84,-,34372304
1304,台聚,6209704,4669544,4154619,32.98,49.46,16196176,11356370,42.61,-,6209704
1305,華夏,1823567,1551446,1279672,17.53,42.5,4978684,3591215,38.63,-,1823567
1307,三芳,932378,706825,1074419,31.91,-13.22,2589090,2657270,-2.56,-,932378
1308,亞聚,679625,519823,499915,30.74,35.94,1852692,1314054,40.99,-,679625
1309,台達化,1845569,1233649,1033774,49.6,78.52,4535681,2958353,53.31,持續強化銷售量，銷售量較去年同期增加，且售價優於去年，故營業收入較去年同期增加。,1845569
1310,台苯,677091,730574,419530,-7.32,61.39,2137707,1698252,25.87,去年因疫情衝擊價格及銷售量銳減，造成基期較低，今年3月的SM價格逐漸走穩較去年同期上升約76%強，造成同期營業額增加61.39%。,677091
1312,國喬,1835254,1660203,1107724,10.54,65.67,5235131,3608357,45.08,係因主要產品之數量及價格均較去年同期大幅成長,1835254
1313,聯成,7215445,3932791,3767808,83.46,91.5,17119947,8888435,92.6,去年同期因新冠肺炎疫情影響石油價格重挫、大陸地區下游客戶開工不足及高庫存、交通管制等影響，營收下滑。,7215445
1314,中石化,2915031,1979742,1568761,47.24,85.81,7436525,5301075,40.28,去年受疫情影響，故去年同期營收較正常低；近期因原物料價格上漲及需求回穩，產品銷量及售價皆上漲，故本月營收較去年同期增加,2915031
1315,達新,183809,170163,192450,8.01,-4.48,539319,518209,4.07,-,183809
1321,大洋,633433,437107,394797,44.91,60.44,1534831,1096066,40.03,因售價調漲客戶提早下單,633433
1323,永裕,306780,244003,309627,25.72,-0.91,830227,766261,8.34,-,306780
1324,地球,111375,58498,105320,90.39,5.74,251888,282887,-10.95,-,111375
1325,恆大,139477,112368,262200,24.12,-46.8,470661,428099,9.94,-,139477
1326,台化,32179323,25225711,20766240,27.56,54.95,84154251,64444053,30.58,比較去年同時疫情影響較緩和，下游需求消費動能提升，致行情上漲，客戶採購動能穩定，開動率提高產銷量增加。,32179323
4306,炎洲,1624079,1036147,1268994,56.74,27.98,3948939,3181483,24.12,-,1624079
1402,遠東新,19757228,17332331,18696616,13.99,5.67,56244212,52235614,7.67,-,19757228
1409,新纖,4214077,2695907,2639257,56.31,59.66,10055281,7610727,32.11,去年因為疫情影響導致營收下降，今年市況回升營收回升,4214077
1410,南染,43164,29102,38973,48.31,10.75,108330,97263,11.37,-,43164
1413,宏洲,242906,174641,142094,39.08,70.94,620108,458225,35.32,因去年疫情關係基期低,242906
1414,東和,71482,62318,67930,14.7,5.22,202939,210102,-3.4,-,71482
1417,嘉裕,97834,93957,55200,4.12,77.23,318747,282224,12.94,因去年同期新冠肺炎疫情影響大額需求減少,97834
1418,東華,3669,2740,12667,33.9,-71.03,12880,34054,-62.17,因客戶受新冠狀肺炎疫情之影響調降開工率，造成亞克力纖維市場需求停滯。,3669
1419,新紡,213510,143826,222376,48.45,-3.98,549888,566280,-2.89,-,213510
1423,利華,22269,14184,19015,57.0,17.11,53920,57328,-5.94,-,22269
1434,福懋,3284511,2283006,3068838,43.86,7.02,8159917,8571381,-4.8,-,3284511
1440,南紡,2176174,1435743,1704740,51.57,27.65,5333105,5037884,5.86,-,2176174
1441,大東,142941,76911,172867,85.85,-17.31,372024,479145,-22.35,-,142941
1444,力麗,817402,634910,888025,28.74,-7.95,2202305,2443699,-9.87,-,817402
1445,大宇,100235,90150,101647,11.18,-1.38,268568,317536,-15.42,-,100235
1446,宏和,23483,29999,70954,-21.72,-66.9,83192,126521,-34.24,因營建收入減少產生差異,23483
1447,力鵬,2298590,1875926,967469,22.53,137.58,5878347,2890587,103.36,因新增子公司貿易營收,2298590
1449,佳和,248198,201706,158417,23.04,56.67,589453,420342,40.23,營收狀況好轉,248198
1451,年興,723142,472016,615361,53.2,17.51,1737738,1873660,-7.25,-,723142
1452,宏益,201142,141746,112721,41.9,78.44,513362,373345,37.5,去年同期受新冠肺炎疫情影響，營收大幅減少。,201142
1454,台富,127728,118548,134983,7.74,-5.37,367005,392304,-6.44,-,127728
1455,集盛,825740,708790,746898,16.49,10.55,2363278,2144335,10.21,-,825740
1457,宜進,362143,257456,299830,40.66,20.78,936626,890789,5.14,-,362143
1459,聯發,256290,184018,201379,39.27,27.26,674591,561247,20.19,-,256290
1460,宏遠,733251,617249,651733,18.79,12.5,2142155,1870937,14.49,-,733251
1463,強盛,40940,29312,45905,39.66,-10.81,106948,204077,-47.59,-,40940
1464,得力,918042,642542,980301,42.87,-6.35,2428879,2539429,-4.35,-,918042
1465,偉全,28521,17796,53883,60.26,-47.06,73380,128096,-42.71,-,28521
1466,聚隆,315388,218592,275237,44.28,14.58,782502,785975,-0.44,-,315388
1467,南緯,542767,618261,381970,-12.21,42.09,1625835,1207281,34.66,-,542767
1468,昶和,84514,32907,94163,156.82,-10.24,240471,243559,-1.26,-,84514
1470,大統新創,81307,55216,83204,47.25,-2.27,201729,206234,-2.18,-,81307
1473,台南,610081,480887,523620,26.86,16.51,1703421,1980954,-14.01,-,610081
1474,弘裕,328823,187312,302680,75.54,8.63,789530,679351,16.21,-,328823
1475,業旺,18677,15339,1640,21.76,1038.84,44377,6997,534.22,主要開始銷售染劑產品,18677
1476,儒鴻,3111846,2324451,1902480,33.87,63.56,8219476,6010927,36.74,主係全球經濟逐漸復甦，出口需求增溫所致。,3111846
1477,聚陽,2628521,1806671,2344774,45.48,12.1,6816799,6130884,11.18,-,2628521
4414,如興,1382808,1670267,1251347,-17.21,10.5,4276750,3905469,9.5,-,1382808
4426,利勤,84314,53901,122989,56.42,-31.44,223455,399135,-44.01,因國外新冠疫情嚴重，導致出貨減少,84314
4438,廣越,523018,446068,582639,17.25,-10.23,1569231,1843895,-14.89,-,523018
4440,宜新實業,138955,107314,98945,29.48,40.43,377422,332467,13.52,-,138955
1503,士電,2519443,1784924,2309826,41.15,9.07,7115146,6419763,10.83,-,2519443
1504,東元,4157489,3362861,3693406,23.62,12.56,11459850,10513291,9.0,-,4157489
1506,正道,101710,66984,91882,51.84,10.69,255566,247190,3.38,-,101710
1513,中興電,2204727,973424,1160807,126.49,89.93,4682713,3043164,53.87,本月較去年同期增加，主要係因出貨量增加所致。,2204727
1514,亞力,419387,411153,468388,2.0,-10.46,1230455,1211384,1.57,-,419387
1515,力山,1302442,1155559,454220,12.71,186.74,4038815,1418539,184.71,客戶銷售狀況好增加採購量,1302442
1517,利奇,405341,248668,189779,63.0,113.58,1009359,523253,92.9,"主係自行車零組件受惠全球自行車零售巿場持續熱銷,造就本公司集團出貨量及金額大增。",405341
1519,華城,709451,417358,516662,69.98,37.31,1595992,1676712,-4.81,-,709451
1526,日馳,149344,79389,84706,88.11,76.3,342419,235916,45.14,因市場需求增加，致本月營收優於去年同期。,149344
1527,鑽全,433439,335250,310571,29.28,39.56,1112782,871337,27.7,-,433439
1528,恩德,344820,198296,325884,73.89,5.81,759760,838826,-9.42,-,344820
1529,樂事綠能,15852,8934,76114,77.43,-79.17,30381,185940,-83.66,"本期因無太陽能工程案營收,致營收較去年同期減少",15852
1530,亞崴,412591,141357,244352,191.87,68.85,803987,591116,36.01,本月較去年大幅增加係因景氣暢旺、接單增加所致,412591
1531,高林股,265125,115925,156697,128.7,69.19,624196,336136,85.69,去年逢大陸爆發疫情延遲開工，工作天數減少，比較基期低所致。,265125
1532,勤美,1655763,835083,867494,98.27,90.86,3655470,2267907,61.18,兩期變動達50%以上，主係去年營收受新冠疫情影響基期較低，本年度營收回復過往水準，及本月認列完工交屋營建收入較去年增加所致,1655763
1535,中宇,722161,798706,815449,-9.58,-11.44,2173956,2018180,7.71,-,722161
1537,廣隆,646022,433990,630694,48.85,2.43,1695973,1705033,-0.53,-,646022
1538,正峰,28964,15187,20187,90.71,43.47,61275,55437,10.53,-,28964
