code,公司名稱,當月營收,上月營收,去年當月營收,上月比較 增減(%),去年同月 增減(%),當月累計營收,去年累計營收,前期比較 增減(%),備註,
1101,台泥,7237930,9514039,7325221,-23.92,-1.19,7237930,7325221,-1.19,-,7237930
1102,亞泥,6490566,6313936,4814494,2.79,34.81,6490566,4814494,34.81,-,6490566
1103,嘉泥,242960,283279,191217,-14.23,27.05,242960,191217,27.05,-,242960
1104,環泥,680762,742480,504378,-8.31,34.97,680762,504378,34.97,-,680762
1108,幸福,457149,449490,294901,1.7,55.01,457149,294901,55.01,去年年假期間在一月，本年度在二月，差異係單純時間性問題。,457149
1109,信大,466562,569161,298010,-18.02,56.55,466562,298010,56.55,"信一預拌第二套設備於112年5月開始運行生產.桃園地區建案逐漸增加,亦促進出貨量增加.",466562
1110,東泥,180539,211257,137873,-14.54,30.94,180539,137873,30.94,-,180539
1201,味全,1822467,1736336,1585126,4.96,14.97,1822467,1585126,14.97,-,1822467
1203,味王,560943,559442,515619,0.26,8.79,560943,515619,8.79,-,560943
1210,大成,9474385,9270160,9191048,2.2,3.08,9474385,9191048,3.08,-,9474385
1213,大飲,10917,3523,31485,209.87,-65.32,10917,31485,-65.32,營收大幅衰退，係因112年4月下旬至11月中旬暫時停工，無產品銷售所致。,10917
1215,卜蜂,2504897,2407927,2369583,4.02,5.71,2504897,2369583,5.71,-,2504897
1216,統一,58667213,49174331,45915517,19.3,27.77,58667213,45915517,27.77,-,58667213
1217,愛之味,462585,311678,447948,48.41,3.26,462585,447948,3.26,-,462585
1218,泰山,1102854,753291,973667,46.4,13.26,1102854,973667,13.26,-,1102854
1219,福壽,1332025,1227767,1334658,8.49,-0.19,1332025,1334658,-0.19,-,1332025
1220,台榮,288895,313541,185500,-7.86,55.73,288895,185500,55.73,"112年1月份因工廠歲修,產量減少,訂單後移.",288895
1225,福懋油,1283395,1180913,1136459,8.67,12.92,1283395,1136459,12.92,-,1283395
1227,佳格,3409425,2963904,2485829,15.03,37.15,3409425,2485829,37.15,-,3409425
1229,聯華,1061632,1934630,813776,-45.12,30.45,1061632,813776,30.45,-,1061632
1231,聯華食,1113178,1161967,1032901,-4.19,7.77,1113178,1032901,7.77,-,1113178
1232,大統益,2119258,2006424,2049752,5.62,3.39,2119258,2049752,3.39,-,2119258
1233,天仁,208014,208774,209169,-0.36,-0.55,208014,209169,-0.55,-,208014
1234,黑松,1068204,763053,1044159,39.99,2.3,1068204,1044159,2.3,-,1068204
1235,興泰,5435,13556,1560,-59.9,248.39,5435,1560,248.39,增加子公司泰宇網通營收376萬,5435
1236,宏亞,344600,218212,220785,57.91,56.07,344600,220785,56.07,本年度業績大幅成長主因：節慶挪移影響，使得今年度大量出貨落點在1月份，去年度則落在111年12月份。,344600
1702,南僑,2062120,2106831,1645186,-2.12,25.34,2062120,1645186,25.34,-,2062120
1737,臺鹽,337703,261068,320289,29.35,5.43,337703,320289,5.43,-,337703
3054,立萬利,12400,7659,1584,61.9,682.82,12400,1584,682.82,主係因本期產品結構改變致銷售額增加。,12400
1301,台塑,17516214,15030148,14408136,16.54,21.57,17516214,14408136,21.57,-,17516214
1303,南亞,20392952,20166589,20289828,1.12,0.5,20392952,20289828,0.5,-,20392952
1304,台聚,4365601,4372440,3931572,-0.15,11.03,4365601,3931572,11.03,-,4365601
1305,華夏,1068566,1019053,1277800,4.85,-16.37,1068566,1277800,-16.37,-,1068566
1307,三芳,999146,753575,789995,32.58,26.47,999146,789995,26.47,-,999146
1308,亞聚,578883,627327,453973,-7.72,27.51,578883,453973,27.51,-,578883
1309,台達化,1347661,1376542,985589,-2.09,36.73,1347661,985589,36.73,-,1347661
1310,台苯,888073,836447,589760,6.17,50.58,888073,589760,50.58,去年同期因安排生產線歲修而產銷量減半，且遇農曆春節連假致需求不佳；本期則維持生產線運營，以致較去年同期營收增加逾50%。,888073
1312,國喬,1255645,1228786,1285657,2.18,-2.33,1255645,1285657,-2.33,-,1255645
1313,聯成,7030314,6670416,3601598,5.39,95.19,7030314,3601598,95.19,去年同期係由於農曆春節假期，下游客戶需求少所致,7030314
1314,中石化,2914717,2821743,1141581,3.29,155.32,2914717,1141581,155.32,受通膨、戰爭與下游市場需求疲弱等因素影響使去年同期基期低，另大陸子公司稼動率較去年同期提升，故本月營收增幅較高。,2914717
1315,達新,157379,153687,241467,2.4,-34.82,157379,241467,-34.82,-,157379
1321,大洋,412854,343982,396457,20.02,4.13,412854,396457,4.13,-,412854
1323,永裕,278381,252244,243005,10.36,14.55,278381,243005,14.55,-,278381
1324,地球,72862,66516,62008,9.54,17.5,72862,62008,17.5,-,72862
1325,恆大,45458,38592,35085,17.79,29.56,45458,35085,29.56,-,45458
1326,台化,28185400,28694019,25576976,-1.77,10.19,28185400,25576976,10.19,-,28185400
4306,炎洲,1142898,1247556,744969,-8.38,53.41,1142898,744969,53.41,主係市場需求增加及去年同期為農曆新年假期所致,1142898
1402,遠東新,23067562,22894628,18935083,0.75,21.82,23067562,18935083,21.82,-,23067562
1409,新纖,3663243,3337231,2779771,9.76,31.78,3663243,2779771,31.78,-,3663243
1410,南染,18779,20330,16558,-7.62,13.41,18779,16558,13.41,-,18779
1413,宏洲,232913,135213,125711,72.25,85.27,232913,125711,85.27,因去年基期低,232913
1414,東和,46819,47917,35189,-2.29,33.05,46819,35189,33.05,-,46819
1417,嘉裕,96641,189724,112648,-49.06,-14.2,96641,112648,-14.2,-,96641
1418,東華,283,2593,3598,-89.08,-92.13,283,3598,-92.13,因去年同期銷庫存,283
1419,新紡,262255,296946,264387,-11.68,-0.8,262255,264387,-0.8,-,262255
1423,利華,12357,7704,8444,60.39,46.34,12357,8444,46.34,-,12357
1434,福懋,2377190,2224206,2465734,6.87,-3.59,2377190,2465734,-3.59,-,2377190
1440,南紡,1454810,1309960,1392081,11.05,4.5,1454810,1392081,4.5,-,1454810
1441,大東,83230,74979,89197,11.0,-6.68,83230,89197,-6.68,-,83230
1444,力麗,725906,523494,712724,38.66,1.84,725906,712724,1.84,-,725906
1445,大宇,97975,120652,114713,-18.79,-14.59,97975,114713,-14.59,-,97975
1446,宏和,47370,351835,7685,-86.53,516.39,47370,7685,516.39,營建銷售增加營收,47370
1447,力鵬,4719844,2289048,3246032,106.19,45.4,4719844,3246032,45.4,-,4719844
1449,佳和,431567,210093,141755,105.41,204.44,431567,141755,204.44,訂單增加,431567
1451,年興,536487,544836,558008,-1.53,-3.85,536487,558008,-3.85,-,536487
1452,宏益,112920,126694,68343,-10.87,65.22,112920,68343,65.22,因上期適逢農曆春節工作日減少及市場需求疲弱，致本期營業收入淨額較去年同期增加。,112920
1454,台富,124338,119685,99448,3.88,25.02,124338,99448,25.02,-,124338
1455,集盛,804846,773864,437746,4.0,83.86,804846,437746,83.86,112年1月逢農曆春節營業天數減少1/3，113年1月回復正常營運日數且需求逐漸回溫，比較基期較低，二者影響致本期增加比例較大。,804846
1457,宜進,319900,228377,211612,40.07,51.17,319900,211612,51.17,"因112年1月適逢農曆新年,出貨日期較少天數,惟113年農曆新年在2月,故113年營業額較去年同期增加所致.",319900
1459,聯發,153764,146814,72580,4.73,111.85,153764,72580,111.85,112年適逢過年，實際銷售天數19天，致本期營業收入淨額較去年同期增加。,153764
1460,宏遠,683527,698235,613975,-2.1,11.32,683527,613975,11.32,-,683527
1463,強盛,24283,26140,24069,-7.1,0.88,24283,24069,0.88,-,24283
1464,得力,905992,930710,736967,-2.65,22.93,905992,736967,22.93,-,905992
1465,偉全,47181,59670,32188,-20.93,46.57,47181,32188,46.57,-,47181
1466,聚隆,208323,228784,132317,-8.94,57.44,208323,132317,57.44,因11３年１月營業天數較去年同期增加所致,208323
1467,南緯,467317,377315,365456,23.85,27.87,467317,365456,27.87,-,467317
1468,昶和,103202,100634,112248,2.55,-8.05,103202,112248,-8.05,-,103202
1470,大統新創,71331,52591,57982,35.63,23.02,71331,57982,23.02,-,71331
1473,台南,780692,631256,808935,23.67,-3.49,780692,808935,-3.49,-,780692
1474,弘裕,260413,263082,145194,-1.01,79.35,260413,145194,79.35,去年同期適逢農曆春節工作天數較少所致,260413
1475,業旺,148039,132193,102647,11.98,44.22,148039,102647,44.22,-,148039
1476,儒鴻,2629261,2681520,2103889,-1.94,24.97,2629261,2103889,24.97,-,2629261
